component	source_url	requested_revision	resolved_sha	mutable	import_path	scope	notes
hal_nuvoton	zephyrproject-rtos/hal_nuvoton	3e0a4c4d3328b2f72b164219add19d5308b53cb5	3e0a4c4d3328b2f72b164219add19d5308b53cb5	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_nxp	zephyrproject-rtos/hal_nxp	ad142f5612d927e29b1f9606e8edade871b8a526	ad142f5612d927e29b1f9606e8edade871b8a526	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_openisa	zephyrproject-rtos/hal_openisa	d1e61c0c654d8ca9e73d27fca3a7eb3b7881cb6a	d1e61c0c654d8ca9e73d27fca3a7eb3b7881cb6a	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_quicklogic	zephyrproject-rtos/hal_quicklogic	b3a66fe6d04d87fd1533a5c8de51d0599fcd08d0	b3a66fe6d04d87fd1533a5c8de51d0599fcd08d0	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_renesas	zephyrproject-rtos/hal_renesas	a6cf2af9140e014fbbc48d2b6deb802231dd369f	a6cf2af9140e014fbbc48d2b6deb802231dd369f	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_rpi_pico	zephyrproject-rtos/hal_rpi_pico	fba7162cc7bee06d0149622bbcaac4e41062d368	fba7162cc7bee06d0149622bbcaac4e41062d368	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_silabs	zephyrproject-rtos/hal_silabs	d191d981c4eb20c0c7445a4061fcdbcfa686113a	d191d981c4eb20c0c7445a4061fcdbcfa686113a	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_st	zephyrproject-rtos/hal_st	fb8e79d1a261fd02aadff7c142729f1954163cf3	fb8e79d1a261fd02aadff7c142729f1954163cf3	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_stm32	zephyrproject-rtos/hal_stm32	89ef0a3383edebf661073073bcdf6e2836fe90ee	89ef0a3383edebf661073073bcdf6e2836fe90ee	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_telink	zephyrproject-rtos/hal_telink	38573af589173259801ae6c2b34b7d4c9e626746	38573af589173259801ae6c2b34b7d4c9e626746	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_ti	zephyrproject-rtos/hal_ti	b85f86e51fc4d47c4c383d320d64d52d4d371ae4	b85f86e51fc4d47c4c383d320d64d52d4d371ae4	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
hal_wurthelektronik	zephyrproject-rtos/hal_wurthelektronik	24ca9873c3d608fad1fea0431836bc8f144c132e	24ca9873c3d608fad1fea0431836bc8f144c132e	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
hal_xtensa	zephyrproject-rtos/hal_xtensa	e6da34fc07dfe96161ab8743f5dbeb6e6307ab93	e6da34fc07dfe96161ab8743f5dbeb6e6307ab93	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=hal
libmetal	zephyrproject-rtos/libmetal	b91611a6f47dd29fb24c46e5621e797557f80ec6	b91611a6f47dd29fb24c46e5621e797557f80ec6	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=hal
liblc3	zephyrproject-rtos/liblc3	448f3de31f49a838988a162ef1e23a89ddf2d2ed	448f3de31f49a838988a162ef1e23a89ddf2d2ed	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
littlefs	zephyrproject-rtos/littlefs	ca583fd297ceb48bced3c2548600dc615d67af24	ca583fd297ceb48bced3c2548600dc615d67af24	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=fs
loramac-node	zephyrproject-rtos/loramac-node	842413c5fb98707eb5f26e619e8e792453877897	842413c5fb98707eb5f26e619e8e792453877897	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested
lvgl	zephyrproject-rtos/lvgl	8a6a2d1d29d17d1e4bdc94c243c146a39d635fdd	8a6a2d1d29d17d1e4bdc94c243c146a39d635fdd	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
mbedtls	zephyrproject-rtos/mbedtls	c38dc78d9a8dcbe43b898cc1171ab33ba3e6fc26	c38dc78d9a8dcbe43b898cc1171ab33ba3e6fc26	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=crypto
mcuboot	zephyrproject-rtos/mcuboot	13767d0b72eb14ce42eb8aad1e5a133ef66afc54	13767d0b72eb14ce42eb8aad1e5a133ef66afc54	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested
mipi-sys-t	zephyrproject-rtos/mipi-sys-t	a819419603a2dfcb47f7f39092e1bc112e45d1ef	a819419603a2dfcb47f7f39092e1bc112e45d1ef	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=debug
net-tools	zephyrproject-rtos/net-tools	d68ee9d17648a1bb3729c2023abfcb735dfe92fa	d68ee9d17648a1bb3729c2023abfcb735dfe92fa	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=tools
nrf_hw_models	zephyrproject-rtos/nrf_hw_models	f4595802d32d103718bf50b3d390b7a450895843	f4595802d32d103718bf50b3d390b7a450895843	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
open-amp	zephyrproject-rtos/open-amp	42b7c577714b8f22ce82a901e19c1814af4609a8	42b7c577714b8f22ce82a901e19c1814af4609a8	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
openthread	zephyrproject-rtos/openthread	d62167ee34b091e7025c9ec2820aae71e17a3944	d62167ee34b091e7025c9ec2820aae71e17a3944	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested
percepio	zephyrproject-rtos/percepio	a3728efccc47dd372f40e6313589ca4c5cc7d5e9	a3728efccc47dd372f40e6313589ca4c5cc7d5e9	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=debug
picolibc	zephyrproject-rtos/picolibc	d07c38ff051386f8e09a143ea0a6c1d6d66dd1d8	d07c38ff051386f8e09a143ea0a6c1d6d66dd1d8	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
segger	zephyrproject-rtos/segger	9d0191285956cef43daf411edc2f1a7788346def	9d0191285956cef43daf411edc2f1a7788346def	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=debug
tinycrypt	zephyrproject-rtos/tinycrypt	3e9a49d2672ec01435ffbf0d788db6d95ef28de0	3e9a49d2672ec01435ffbf0d788db6d95ef28de0	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=crypto
trusted-firmware-m	zephyrproject-rtos/trusted-firmware-m	b168d92c7ed3c77c94d7ce3362bdde5dbffe8424	b168d92c7ed3c77c94d7ce3362bdde5dbffe8424	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported by zmk/app/west.yml; blocked by zephyr name-blocklist	full commit SHA requested; groups=tee
trusted-firmware-a	zephyrproject-rtos/trusted-firmware-a	421dc050278287839f5c70019bd6aec617f2bbdb	421dc050278287839f5c70019bd6aec617f2bbdb	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested; groups=tee
uoscore-uedhoc	zephyrproject-rtos/uoscore-uedhoc	5fe2cb613bd7e4590bd1b00c2adf181ac0229379	5fe2cb613bd7e4590bd1b00c2adf181ac0229379	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
zcbor	zephyrproject-rtos/zcbor	67fd8bb88d3136738661fa8bb5f9989103f4599e	67fd8bb88d3136738661fa8bb5f9989103f4599e	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml	imported build manifest via zmk/app/west.yml -> zephyr/west.yml	full commit SHA requested
chre	zephyrproject-rtos/chre	3b32c76efee705af146124fb4190f71be5a4e36e	3b32c76efee705af146124fb4190f71be5a4e36e	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
lz4	zephyrproject-rtos/lz4	8e303c264fc21c2116dc612658003a22e933124d	8e303c264fc21c2116dc612658003a22e933124d	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
nanopb	zephyrproject-rtos/nanopb	42fa8b211e946b90b9d968523fce7b1cfe27617e	42fa8b211e946b90b9d968523fce7b1cfe27617e	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; blocked by root Zephyr name-blocklist	full commit SHA requested; groups=optional; inactive
psa-arch-tests	zephyrproject-rtos/psa-arch-tests	6a17330e0dfb5f319730f974d5b05f7b7f04757b	6a17330e0dfb5f319730f974d5b05f7b7f04757b	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
sof	zephyrproject-rtos/sof	c0f20b69daa44e3563f970b366e49ccfcfa1b71c	c0f20b69daa44e3563f970b366e49ccfcfa1b71c	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
tf-m-tests	zephyrproject-rtos/tf-m-tests	a878426da78fbd1486dfc29d6c6b82be4ee79e72	a878426da78fbd1486dfc29d6c6b82be4ee79e72	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
tflite-micro	zephyrproject-rtos/tflite-micro	1a34dcab41e7e0e667db72d6a40999c1ec9c510c	1a34dcab41e7e0e667db72d6a40999c1ec9c510c	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
thrift	zephyrproject-rtos/thrift	10023645a0e6cb7ce23fcd7fd3dbac9f18df6234	10023645a0e6cb7ce23fcd7fd3dbac9f18df6234	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
zscilib	zephyrproject-rtos/zscilib	34c3432e81085bb717e4871d21ca419ae0058ec5	34c3432e81085bb717e4871d21ca419ae0058ec5	no	config/west.yml -> zmk/app/west.yml -> zephyr/west.yml -> submanifests/optional.yaml	imported manifest; disabled by zephyr group-filter -optional	full commit SHA requested; groups=optional
dya-studio	cormoran/dya-studio	2c31a8655dcef95589ce6131a0797ccc19c618b8	2c31a8655dcef95589ce6131a0797ccc19c618b8	no	external audit source	React/TypeScript client and Cloudflare deployment	live main resolved 2026-07-29; detached exact-SHA audit clone
